#ring_or_winding_chain_length number_density stderr
232 8e-08 7.9599e-08
234 1.6e-07 1.12e-07
236 1.6e-07 1.12e-07
238 4.8e-07 1.89989e-07
240 4e-07 1.74356e-07
242 2.4e-07 1.3647e-07
244 2.4e-07 1.3647e-07
248 8e-08 7.9599e-08
250 2.4e-07 1.3647e-07
252 2.4e-07 1.3647e-07
254 1.6e-07 1.12e-07
258 8e-08 7.9599e-08
260 8e-08 7.9599e-08
264 1.6e-07 1.12e-07
266 8e-08 7.9599e-08
268 8e-08 7.9599e-08
270 2.4e-07 1.3647e-07
272 2.4e-07 1.3647e-07
276 8e-08 7.9599e-08
280 8e-08 7.9599e-08
282 2.4e-07 1.3647e-07
286 1.6e-07 1.12e-07
290 2.4e-07 1.3647e-07
292 8e-08 7.9599e-08
294 8e-08 7.9599e-08
296 8e-08 7.9599e-08
300 8e-08 7.9599e-08
304 1.6e-07 1.12e-07
306 2.4e-07 1.3647e-07
316 8e-08 7.9599e-08
318 8e-08 7.9599e-08
320 3.2e-07 1.56767e-07
322 8e-08 7.9599e-08
324 8e-08 7.9599e-08
326 8e-08 7.9599e-08
328 8e-08 7.9599e-08
334 1.6e-07 1.12e-07
338 8e-08 7.9599e-08
344 8e-08 7.9599e-08
346 1.6e-07 1.12e-07
350 8e-08 7.9599e-08
362 8e-08 7.9599e-08
366 8e-08 7.9599e-08
368 8e-08 7.9599e-08
372 8e-08 7.9599e-08
374 8e-08 7.9599e-08
376 1.6e-07 1.12e-07
378 8e-08 7.9599e-08
380 8e-08 7.9599e-08
384 8e-08 7.9599e-08
388 8e-08 7.9599e-08
392 8e-08 7.9599e-08
394 8e-08 7.9599e-08
400 8e-08 7.9599e-08
404 1.6e-07 1.12e-07
408 8e-08 7.9599e-08
414 1.6e-07 1.12e-07
418 8e-08 7.9599e-08
424 8e-08 7.9599e-08
430 8e-08 7.9599e-08
438 1.6e-07 1.12e-07
450 8e-08 7.9599e-08
468 8e-08 7.9599e-08
474 1.6e-07 1.12e-07
486 2.4e-07 1.3647e-07
488 8e-08 7.9599e-08
500 8e-08 7.9599e-08
504 8e-08 7.9599e-08
518 8e-08 7.9599e-08
522 1.6e-07 1.12e-07
536 8e-08 7.9599e-08
552 8e-08 7.9599e-08
560 8e-08 7.9599e-08
566 8e-08 7.9599e-08
568 8e-08 7.9599e-08
570 8e-08 7.9599e-08
572 8e-08 7.9599e-08
610 8e-08 7.9599e-08
632 8e-08 7.9599e-08
634 8e-08 7.9599e-08
638 8e-08 7.9599e-08
650 8e-08 7.9599e-08
652 8e-08 7.9599e-08
660 8e-08 7.9599e-08
664 8e-08 7.9599e-08
670 8e-08 7.9599e-08
672 8e-08 7.9599e-08
688 8e-08 7.9599e-08
694 8e-08 7.9599e-08
696 8e-08 7.9599e-08
702 8e-08 7.9599e-08
704 1.6e-07 1.12e-07
706 8e-08 7.9599e-08
712 8e-08 7.9599e-08
720 8e-08 7.9599e-08
748 8e-08 7.9599e-08
750 8e-08 7.9599e-08
754 8e-08 7.9599e-08
758 8e-08 7.9599e-08
762 8e-08 7.9599e-08
784 8e-08 7.9599e-08
790 8e-08 7.9599e-08
792 8e-08 7.9599e-08
794 1.6e-07 1.12e-07
802 8e-08 7.9599e-08
812 8e-08 7.9599e-08
862 8e-08 7.9599e-08
870 8e-08 7.9599e-08
874 8e-08 7.9599e-08
876 8e-08 7.9599e-08
918 8e-08 7.9599e-08
946 8e-08 7.9599e-08
960 8e-08 7.9599e-08
966 8e-08 7.9599e-08
1036 8e-08 7.9599e-08
1038 8e-08 7.9599e-08
1088 8e-08 7.9599e-08
1134 8e-08 7.9599e-08
1142 8e-08 7.9599e-08
1152 8e-08 7.9599e-08
1208 8e-08 7.9599e-08
1218 8e-08 7.9599e-08
1262 8e-08 7.9599e-08
1266 8e-08 7.9599e-08
1278 8e-08 7.9599e-08
1314 8e-08 7.9599e-08
1404 8e-08 7.9599e-08
1412 8e-08 7.9599e-08
1430 8e-08 7.9599e-08
1480 8e-08 7.9599e-08
1508 8e-08 7.9599e-08
1606 8e-08 7.9599e-08
1660 8e-08 7.9599e-08
1664 8e-08 7.9599e-08
1712 8e-08 7.9599e-08
1748 8e-08 7.9599e-08
1792 8e-08 7.9599e-08
1798 8e-08 7.9599e-08
1818 8e-08 7.9599e-08
1834 8e-08 7.9599e-08
1840 8e-08 7.9599e-08
1874 8e-08 7.9599e-08
1892 8e-08 7.9599e-08
1924 8e-08 7.9599e-08
1928 8e-08 7.9599e-08
1990 8e-08 7.9599e-08
2016 8e-08 7.9599e-08
2048 8e-08 7.9599e-08
2072 8e-08 7.9599e-08
2144 8e-08 7.9599e-08
2146 8e-08 7.9599e-08
2168 8e-08 7.9599e-08
2180 8e-08 7.9599e-08
2276 8e-08 7.9599e-08
2362 8e-08 7.9599e-08
2380 8e-08 7.9599e-08
2418 8e-08 7.9599e-08
2452 8e-08 7.9599e-08
2466 8e-08 7.9599e-08
2472 8e-08 7.9599e-08
2482 8e-08 7.9599e-08
2658 8e-08 7.9599e-08
2672 8e-08 7.9599e-08
2700 8e-08 7.9599e-08
2738 8e-08 7.9599e-08
2748 8e-08 7.9599e-08
2810 8e-08 7.9599e-08
2900 8e-08 7.9599e-08
2918 8e-08 7.9599e-08
3200 8e-08 7.9599e-08
3274 8e-08 7.9599e-08
3292 8e-08 7.9599e-08
3322 8e-08 7.9599e-08
3372 8e-08 7.9599e-08
3408 1.6e-07 1.12e-07
3482 8e-08 7.9599e-08
3522 8e-08 7.9599e-08
3544 8e-08 7.9599e-08
3558 8e-08 7.9599e-08
3690 8e-08 7.9599e-08
3800 8e-08 7.9599e-08
3848 8e-08 7.9599e-08
3874 8e-08 7.9599e-08
3906 8e-08 7.9599e-08
3914 8e-08 7.9599e-08
3918 8e-08 7.9599e-08
3926 8e-08 7.9599e-08
4012 8e-08 7.9599e-08
4076 8e-08 7.9599e-08
4098 8e-08 7.9599e-08
4218 8e-08 7.9599e-08
4278 8e-08 7.9599e-08
4396 8e-08 7.9599e-08
4426 8e-08 7.9599e-08
4570 8e-08 7.9599e-08
4984 8e-08 7.9599e-08
5336 8e-08 7.9599e-08
5518 8e-08 7.9599e-08
5684 8e-08 7.9599e-08
5716 8e-08 7.9599e-08
5742 8e-08 7.9599e-08
5776 8e-08 7.9599e-08
5840 8e-08 7.9599e-08
6032 8e-08 7.9599e-08
6056 8e-08 7.9599e-08
6116 8e-08 7.9599e-08
6410 8e-08 7.9599e-08
6612 8e-08 7.9599e-08
6936 8e-08 7.9599e-08
7456 8e-08 7.9599e-08
7572 8e-08 7.9599e-08
7608 8e-08 7.9599e-08
7816 8e-08 7.9599e-08
7824 8e-08 7.9599e-08
7980 8e-08 7.9599e-08
7992 8e-08 7.9599e-08
8030 8e-08 7.9599e-08
8418 8e-08 7.9599e-08
8490 8e-08 7.9599e-08
8936 8e-08 7.9599e-08
9192 8e-08 7.9599e-08
9354 8e-08 7.9599e-08
9506 8e-08 7.9599e-08
9508 8e-08 7.9599e-08
9522 8e-08 7.9599e-08
9640 8e-08 7.9599e-08
10392 8e-08 7.9599e-08
10538 8e-08 7.9599e-08
11104 8e-08 7.9599e-08
12138 8e-08 7.9599e-08
12186 8e-08 7.9599e-08
12222 8e-08 7.9599e-08
12290 8e-08 7.9599e-08
12622 8e-08 7.9599e-08
13316 8e-08 7.9599e-08
13388 8e-08 7.9599e-08
13568 8e-08 7.9599e-08
14100 8e-08 7.9599e-08
15120 8e-08 7.9599e-08
15200 8e-08 7.9599e-08
15788 8e-08 7.9599e-08
16228 8e-08 7.9599e-08
16494 8e-08 7.9599e-08
16528 8e-08 7.9599e-08
18558 8e-08 7.9599e-08
19420 8e-08 7.9599e-08
20600 8e-08 7.9599e-08
20738 8e-08 7.9599e-08
21074 8e-08 7.9599e-08
21130 8e-08 7.9599e-08
23694 8e-08 7.9599e-08
25232 8e-08 7.9599e-08
25798 8e-08 7.9599e-08
27328 8e-08 7.9599e-08
27344 8e-08 7.9599e-08
31810 8e-08 7.9599e-08
35870 8e-08 7.9599e-08
40368 8e-08 7.9599e-08
43054 8e-08 7.9599e-08
43172 8e-08 7.9599e-08
43360 8e-08 7.9599e-08
46004 8e-08 7.9599e-08
46254 8e-08 7.9599e-08
52094 8e-08 7.9599e-08
52734 8e-08 7.9599e-08
53510 8e-08 7.9599e-08
56302 8e-08 7.9599e-08
65494 8e-08 7.9599e-08
