#ring_or_winding_chain_length number_density stderr
4 0.00569216 2.30995e-05
6 0.00201864 1.24492e-05
8 0.00099088 8.80365e-06
10 0.00054936 6.55908e-06
12 0.00033792 5.31036e-06
14 0.00023048 3.91215e-06
16 0.00015608 3.66343e-06
18 0.00011976 2.94473e-06
20 8.752e-05 2.47566e-06
22 6.904e-05 2.21025e-06
24 5.808e-05 2.38024e-06
26 3.952e-05 1.9194e-06
28 3.92e-05 1.70646e-06
30 3.208e-05 1.9283e-06
32 2.448e-05 1.54638e-06
34 2.216e-05 1.20721e-06
36 1.8e-05 1.27687e-06
38 1.896e-05 1.02858e-06
40 1.496e-05 9.50991e-07
42 1.368e-05 1.00746e-06
44 1.32e-05 9.28655e-07
46 1.112e-05 8.45846e-07
48 9.68e-06 7.86242e-07
50 8.88e-06 8.45846e-07
52 7.44e-06 8.33345e-07
54 6.8e-06 7.0993e-07
56 7.52e-06 7.6583e-07
58 5.52e-06 6.66405e-07
60 5.12e-06 5.71538e-07
62 4.72e-06 5.66759e-07
64 4.64e-06 5.78882e-07
66 4.16e-06 6.54633e-07
68 4.4e-06 6.02661e-07
70 3.36e-06 5.08236e-07
72 3.12e-06 5.64496e-07
74 4.08e-06 6.1444e-07
76 4.4e-06 6.72904e-07
78 2.56e-06 4.78397e-07
80 1.84e-06 3.72752e-07
82 2.24e-06 3.93223e-07
84 1.52e-06 3.86906e-07
86 1.76e-06 3.68e-07
88 2.08e-06 4.01915e-07
90 2.24e-06 4.09175e-07
92 1.36e-06 3.40447e-07
94 2.08e-06 4.17536e-07
96 1.84e-06 3.55168e-07
98 1.52e-06 3.52273e-07
100 1.84e-06 3.89543e-07
102 1.28e-06 3.1435e-07
104 1.52e-06 3.52273e-07
106 1.76e-06 3.31397e-07
108 1.84e-06 4.36055e-07
110 1.52e-06 3.52273e-07
112 8e-07 2.4e-07
114 1.2e-06 2.85657e-07
116 1.44e-06 3.46503e-07
118 1.2e-06 2.85657e-07
120 8.8e-07 2.74693e-07
122 8.8e-07 2.50312e-07
124 7.2e-07 2.55374e-07
126 6.4e-07 2.17035e-07
128 7.2e-07 2.55374e-07
130 8.8e-07 2.50312e-07
132 6.4e-07 2.17035e-07
134 2.4e-07 1.3647e-07
136 1.28e-06 3.1435e-07
138 5.6e-07 2.04118e-07
140 8e-07 2.4e-07
142 1.04e-06 2.69043e-07
144 4e-07 1.74356e-07
146 8e-07 2.4e-07
148 8e-07 2.4e-07
150 6.4e-07 2.17035e-07
152 5.6e-07 2.04118e-07
154 8.8e-07 2.50312e-07
156 8.8e-07 2.50312e-07
158 4e-07 1.74356e-07
160 8.8e-07 2.50312e-07
162 5.6e-07 2.04118e-07
164 1.6e-07 1.59198e-07
166 3.2e-07 1.56767e-07
168 2.4e-07 1.3647e-07
170 5.6e-07 2.04118e-07
172 8e-07 2.4e-07
174 1.6e-07 1.12e-07
176 3.2e-07 1.56767e-07
178 8e-08 7.9599e-08
180 2.4e-07 1.3647e-07
182 2.4e-07 1.3647e-07
184 3.2e-07 1.56767e-07
186 4.8e-07 1.89989e-07
188 8e-08 7.9599e-08
190 3.2e-07 1.56767e-07
194 2.4e-07 1.3647e-07
198 2.4e-07 1.3647e-07
200 2.4e-07 1.3647e-07
202 4e-07 1.74356e-07
204 1.6e-07 1.12e-07
206 8e-08 7.9599e-08
208 8e-08 7.9599e-08
210 1.6e-07 1.12e-07
212 4e-07 1.74356e-07
216 1.6e-07 1.12e-07
218 3.2e-07 1.56767e-07
220 3.2e-07 1.56767e-07
222 1.6e-07 1.12e-07
224 1.6e-07 1.12e-07
226 2.4e-07 1.3647e-07
228 2.4e-07 1.3647e-07
